x=-1.2186487 , y=3.193865 , z=7.381324
x=-1.1923125 , y=3.2202013 , z=7.3286514
x=-1.1611878 , y=3.2106245 , z=7.3071036
x=-1.0965444 , y=3.1962593 , z=7.2927384
x=-1.0007763 , y=3.1771057 , z=7.2113357
x=-0.90500826 , y=3.2154129 , z=7.1466923
x=-0.7757214 , y=3.323152 , z=7.2209125
x=-0.6631939 , y=3.4715924 , z=7.541735
x=-0.61052144 , y=3.5434184 , z=7.7572136
x=-0.4405331 , y=3.5817258 , z=7.884106
x=-0.22266077 , y=3.5984852 , z=7.9391727
x=-0.08379706 , y=3.5913026 , z=8.037335
x=0.035913024 , y=3.6032736 , z=8.195353
x=0.06703765 , y=3.6248214 , z=8.305486
x=0.090979666 , y=3.6535518 , z=8.367735
x=0.10295067 , y=3.6631286 , z=8.418014
x=0.095768064 , y=3.608062 , z=8.418014
x=0.10295067 , y=3.5362358 , z=8.532935
x=0.07182605 , y=3.4715924 , z=8.607155
x=0.033518825 , y=3.3925838 , z=8.748413
x=-0.016759412 , y=3.2944214 , z=8.937555
x=-0.076614454 , y=3.229778 , z=9.241618
x=-0.12928689 , y=3.1603463 , z=9.706094
x=-0.20829555 , y=3.1124623 , z=10.096349
x=-0.21068975 , y=3.052607 , z=10.462662
x=-0.18195933 , y=2.9879637 , z=10.654198
x=-0.12210429 , y=2.9592333 , z=10.718841
x=-0.01436521 , y=2.944868 , z=10.699687
x=0.06703765 , y=2.9855695 , z=10.635044
x=0.0 , y=3.0765493 , z=10.500969
x=-0.260968 , y=3.1962593 , z=10.33098
x=0.009576807 , y=3.2321723 , z=10.25676
x=0.2777274 , y=3.2345665 , z=10.170568
x=0.79966336 , y=3.2585084 , z=10.189722
x=1.4221559 , y=3.3494883 , z=10.295067
x=1.6711528 , y=3.4213142 , z=10.304645
x=1.7908629 , y=3.5170822 , z=10.287885
x=1.6903064 , y=3.5936968 , z=10.235212
x=1.5610195 , y=3.6128504 , z=10.259154
x=1.4700398 , y=3.58412 , z=10.30225
x=1.42455 , y=3.5529952 , z=10.378864
x=1.3982137 , y=3.502717 , z=10.496181
x=1.3192052 , y=3.4644098 , z=10.6877165
x=1.2114661 , y=3.4380736 , z=10.788273
x=0.9840169 , y=3.4213142 , z=10.764331
x=0.82360536 , y=3.4141316 , z=10.58716
x=0.7015011 , y=3.3854012 , z=10.247183
x=0.8475474 , y=3.3638535 , z=9.842564
x=0.9840169 , y=3.3662477 , z=9.583989
x=1.0845734 , y=3.4452562 , z=9.184157
x=1.0773908 , y=3.5194764 , z=8.853758
x=1.0175357 , y=3.608062 , z=8.537724
x=0.9576807 , y=3.7205894 , z=8.173804
x=0.92416185 , y=3.8067808 , z=7.9152308
