x=0.06583954160097076 , y=1.6100759727044627 , z=5.294695841629373
x=0.10414618222597076 , y=1.6400030065893592 , z=5.249206750124331
x=0.18315362618676248 , y=1.6878863800126576 , z=5.153440241692662
x=0.26694941047007065 , y=1.7465433664270547 , z=5.046899762647502
x=0.3280006191989915 , y=1.7992150652719365 , z=4.925994784167449
x=0.41538764754848717 , y=1.8662516211741047 , z=4.781147701749622
x=0.47883301898819974 , y=1.9129379132420072 , z=4.672213059993671
x=0.5518550412710791 , y=1.9500474352592787 , z=4.601585021610386
x=0.6356507957525213 , y=1.9751861437225917 , z=4.589614208056428
x=0.706278714928341 , y=1.9931423640535297 , z=4.632709136850679
x=0.7529648877887795 , y=1.9835657132103628 , z=4.752417749220122
x=0.7529648877887795 , y=1.9763832250779876 , z=4.887687703964925
x=0.7182495284822996 , y=1.9488503539038828 , z=5.12830129481442
x=0.681139946861296 , y=1.915332075952799 , z=5.297090004340165
x=0.6236799821985627 , y=1.879419516083459 , z=5.446725412179576
x=0.578190831089788 , y=1.8219596110244578 , z=5.599951825670246
x=0.5338988209401413 , y=1.7980179839165407 , z=5.693324648220979
x=0.4704534196985627 , y=1.7740762376011594 , z=5.735222257244906
x=0.4297526238132375 , y=1.7644995867579925 , z=5.7316312515936465
x=0.38785474657251645 , y=1.7656966681133883 , z=5.638258429042913
x=0.34116851410834587 , y=1.7752733189565553 , z=5.441937086757992
x=0.306453125 , y=1.7740762376011594 , z=5.258783400967498
x=0.2849056308010085 , y=1.7716820748903677 , z=4.9990165084316684
x=0.26335816640388304 , y=1.7752733189565553 , z=4.806286171798007
x=0.26216108504848723 , y=1.7633025054025966 , z=4.64707411311543
x=0.27173773589165406 , y=1.7728791562457635 , z=4.4902566939735005
x=0.28729979351180024 , y=1.7585141799810133 , z=4.364562913242007
x=0.3220152124220122 , y=1.7465433664270547 , z=4.248445783353681
x=0.3268035378435956 , y=1.7297842274515127 , z=4.200562529137846
x=0.33398602597597077 , y=1.7046455189881997 , z=4.179015064740721
x=0.3124385317769793 , y=1.6807038918802826 , z=4.231686644378138
x=0.2968764741568331 , y=1.6651418342601363 , z=4.2747815731723895
x=0.27293481724704993 , y=1.6388059252339633 , z=4.357380425109632
x=0.26335816640388304 , y=1.6232438676138172 , z=4.4327967889145
x=0.23941650949409987 , y=1.5993022405059 , z=4.487862531262709
x=0.21786901529510838 , y=1.5849372642411497 , z=4.5728550690808865
x=0.19273029193086236 , y=1.5597985557778367 , z=4.625526648718304
x=0.14484697811129596 , y=1.5430394168022947 , z=4.645877270174962
x=0.10414618222597076 , y=1.540645254091503 , z=4.627920811429096
x=0.06943078566715834 , y=1.5190976704869135 , z=4.5632784182377195
x=0.03591247418897503 , y=1.5155064264207259 , z=4.483074205841126
x=0.02513873267732917 , y=1.5131122637099341 , z=4.393292865771508
x=0.05985412737352497 , y=1.5238859959084967 , z=4.272387410461597
