x=0.33997664 , y=3.9671922 , z=9.873688
x=0.61291564 , y=4.1539397 , z=10.065224
x=1.079785 , y=4.3047748 , z=9.706094
x=1.1851299 , y=4.5441947 , z=8.643068
x=1.067814 , y=4.9344497 , z=6.895301
x=0.6703765 , y=5.221754 , z=6.897695
x=0.7422025 , y=5.3965306 , z=8.403648
x=1.0630256 , y=5.5856724 , z=8.896853
x=0.6847417 , y=5.686229 , z=8.439561
x=-0.15801731 , y=5.779603 , z=5.269638
x=-0.7158663 , y=5.8083334 , z=4.197036
x=-0.47165772 , y=5.758055 , z=5.4444146
x=0.1388637 , y=5.645528 , z=5.8634
x=0.1604115 , y=5.6215854 , z=4.345476
x=-0.093373865 , y=5.5258174 , z=3.0358477
x=-0.12928689 , y=5.374983 , z=2.255338
x=-0.20829555 , y=5.3606176 , z=3.4404678
x=0.021547815 , y=5.463568 , z=5.3438582
x=-0.05746084 , y=5.5401826 , z=6.7684083
x=-0.2705448 , y=5.374983 , z=6.505046
x=-0.5363012 , y=5.1786585 , z=5.8203044
x=-0.11252748 , y=4.9296613 , z=6.5601125
x=0.92655605 , y=4.5513773 , z=8.62152
x=1.5993267 , y=3.9504328 , z=10.560823
x=1.520318 , y=3.4691982 , z=10.623073
x=1.2689269 , y=2.9879637 , z=11.159374
x=0.62728083 , y=2.707842 , z=13.12262
x=0.50757074 , y=2.755726 , z=15.571888
x=0.33997664 , y=2.858677 , z=16.891092
x=0.031124622 , y=2.9137435 , z=16.599
x=-0.05746084 , y=2.9735985 , z=15.375564
x=-0.10534488 , y=3.040636 , z=15.289372
x=0.34476504 , y=3.1292217 , z=14.700398
x=1.1180922 , y=3.3566709 , z=13.472173
x=1.3239936 , y=3.5434184 , z=12.078748
x=1.2521675 , y=3.6176388 , z=10.146626
x=1.0869676 , y=3.775656 , z=8.161834
x=0.81163436 , y=4.024653 , z=8.341399
x=0.9840169 , y=4.2640734 , z=8.161834
x=1.1947067 , y=4.537012 , z=7.9822683
x=0.92416185 , y=4.7860093 , z=6.7085533
x=0.48602295 , y=5.0781016 , z=5.473145
x=0.4213795 , y=5.3223104 , z=5.7604494
x=0.7781156 , y=5.5042696 , z=5.6670756
x=0.78769237 , y=5.650316 , z=5.638345
x=0.830788 , y=5.7005944 , z=5.449203
x=0.78050977 , y=5.614403 , z=4.4795513
x=0.79248077 , y=5.530606 , z=3.4404678
x=0.770933 , y=5.341464 , z=2.3343468
