x=0.08259869547744579 , y=2.2313617921922337 , z=4.190985878294679
x=-0.011970824729658342 , y=2.328325381979298 , z=4.007832192504185
x=0.2501902416926626 , y=2.4564133254215834 , z=3.877350324766036
x=0.3375772700421583 , y=2.507887823703605 , z=3.7217295101496464
x=0.4022197228372667 , y=2.432471698313666 , z=3.1279766810434446
x=0.44651179259064555 , y=2.349873084791352 , z=2.4935228474388547
x=0.43573803059021676 , y=2.3079749989375684 , z=1.9284999708621533
x=0.44651179259064555 , y=2.340296433948185 , z=1.9165291573081948
x=0.5063658901623045 , y=2.449230837289208 , z=2.4803549525295003
x=0.41419056619309136 , y=2.6000633264840145 , z=3.326692424454085
x=0.2753289799578416 , y=2.6252020349473275 , z=3.6367367339165404
x=0.26216108504848723 , y=2.5940779197070354 , z=3.776795252497856
x=0.22146025936129596 , y=2.422895047470499 , z=4.009029512274509
x=0.2142777712289208 , y=2.2672742328541093 , z=4.485468368551917
x=0.3172268571985627 , y=2.1511573413807112 , z=5.362929717301865
x=0.5195337850716589 , y=2.1248215515620026 , z=6.191310968895513
x=0.5267163328077661 , y=2.082923465708219 , z=6.537267719019844
x=0.2753289799578416 , y=2.014689828450655 , z=5.777120343098689
x=0.14963531843381242 , y=2.047011025046343 , z=4.951133254215834
x=0.4105992923250377 , y=2.152354422736107 , z=5.412010291288024
x=0.6320595516863337 , y=2.250515093878567 , z=6.021324939599444
x=0.5590375294034543 , y=2.278047965052672 , z=5.745996227858397
x=0.391445990638704 , y=2.2648800701433176 , z=5.5436892403815685
x=0.2801173053794251 , y=2.2648800701433176 , z=4.991834020299293
x=0.21667193393971254 , y=2.285230453185047 , z=4.240066452280838
x=0.3004677182230207 , y=2.360646816989915 , z=3.6104009440978317
x=0.4908038325421583 , y=2.48634035930648 , z=3.3661961091821486
x=0.6164974940661875 , y=2.6587203128984114 , z=3.5086487904742554
x=0.5985412737352497 , y=2.78920218063656 , z=3.272823525046343
x=0.46805925698777096 , y=2.902925147814095 , z=2.697026916271079
x=0.49798632067453347 , y=2.9651733782946796 , z=2.365435142411498
x=0.7086728776391328 , y=2.9819325172702214 , z=1.9033612623988403
x=0.834366539163162 , y=3.0238303647090765 , z=1.4999443688005796
x=0.8307752950969743 , y=3.0561515613047647 , z=1.51430934506533
x=0.9456951648187087 , y=3.0765021827614225 , z=2.5042965796374177
x=1.0773742927234493 , y=3.1088233793571107 , z=3.3997143871332325
x=1.0318850820109426 , y=3.1076262980017146 , z=3.9192481722048913
x=0.6548041570425871 , y=2.967567541005471 , z=3.5242108480944014
x=0.3351831073313666 , y=2.713786055246621 , z=3.1686774471269037
x=0.22265735561762484 , y=2.4695812203309377 , z=3.464356780324609
x=0.3794751472828794 , y=2.3115662430037562 , z=4.3621687505312154
x=0.3268035378435956 , y=2.1930551888195664 , z=5.26117756367829
x=0.16040905063237512 , y=2.0960915990325018 , z=5.655018044848312
x=0.1328761645573374 , y=2.02187231658303 , z=5.384477181698991
x=0.0442920548524458 , y=2.037434374203176 , z=5.602345988381037
x=0.0514745467100542 , y=2.081726384352823 , z=6.296654128170348
x=0.19512445464165407 , y=2.202631839662733 , z=6.762319013834265
x=0.32560645648819975 , y=2.2816392091188598 , z=6.574377002622187
x=0.30765020635539586 , y=2.2588946633663385 , z=5.714872112618105
x=0.3854605838617247 , y=2.0733468148650522 , z=5.23484177385958
x=0.5315046582293496 , y=1.905755425109632 , z=5.3653238800126575
x=0.7134612030607161 , y=1.7752733189565553 , z=5.959076709118859
x=0.6619866451749622 , y=1.8231566923798537 , z=6.254756042316565
x=0.3112414504215834 , y=1.9644124115240291 , z=5.51735345056286
x=-0.24540191627107916 , y=2.12841279562819 , z=4.587220045345637
x=-0.3710955777951084 , y=2.245726768456984 , z=4.495045019395084
x=-0.22146025936129596 , y=2.4372600237352495 , z=4.836213444097831
x=-0.07421911853920828 , y=2.5066907423482094 , z=4.581234876983586
x=0.026335815895341654 , y=2.5402090202992933 , z=3.930021904403454
x=0.22146025936129596 , y=2.5461944270762724 , z=3.545758312491527
x=0.30765020635539586 , y=2.4995082542158342 , z=3.1938161555902167
x=0.25976689253582946 , y=2.5761216993760976 , z=3.1602978776391324
x=0.2346281691715834 , y=2.613231221393369 , z=3.275217687757135
x=0.0574599609375 , y=2.697026916271079 , z=3.071713857339839
x=-0.07182494837795006 , y=2.738924763709934 , z=3.2333198403182797
x=-0.0885841097048916 , y=2.6850561027171205 , z=3.0298157714860556
x=0.0574599609375 , y=2.645552417989057 , z=2.8035671569013103
x=-0.05506579450147502 , y=2.6659028010307866 , z=2.6443553366336614
x=-0.1173140845857917 , y=2.722165624734392 , z=3.2285315148966967
x=-0.06823370431176248 , y=2.7329393569329548 , z=3.9503722874451834
x=0.1029490934201084 , y=2.698223997626475 , z=4.060503772141603
x=0.26335816640388304 , y=2.516267393191376 , z=3.5625176898819975
x=0.23941650949409987 , y=2.2828362904742554 , z=3.8677736739228696
x=0.34116851410834587 , y=1.957229923391654 , z=4.417234492879425
x=0.33398602597597077 , y=1.787244251717978 , z=4.669818897282879
x=0.16400030959949574 , y=1.631623437101588 , z=5.584390006465028
x=-0.09696368664312911 , y=1.4700173349156833 , z=5.8417627362900655
x=-0.6021325178014373 , y=1.3957981716736758 , z=5.761558047063614
x=-0.9061914800906455 , y=1.3838273581197174 , z=6.357705038880608
x=-0.9229506190661875 , y=1.4975502060897878 , z=6.809005425109632
x=-1.0079434549030255 , y=1.5981051591505042 , z=7.314174233916541
x=-0.9026002360244579 , y=1.574163532042587 , z=6.698873940413213
x=-0.6955049231260462 , y=1.5370540100253154 , z=5.717266275328896
x=-0.30765020635539586 , y=1.5645868811994201 , z=5.251600912835123
x=0.04788329891863337 , y=1.6459884133663385 , z=5.753178715990772
x=0.2322340064607917 , y=1.7537258545594299 , z=6.369675852434567
x=0.2920881487352497 , y=1.8470983194877708 , z=5.933938239070475
x=0.20470110548482093 , y=1.8985728177697927 , z=4.892476029386509
x=0.114919921875 , y=1.9692007369456126 , z=4.6913663616800045
x=0.16998571637647503 , y=2.1308069583389817 , z=4.937965597721408
x=0.22983984375 , y=2.391770932230207 , z=4.690169518739537
x=-0.07182494837795006 , y=2.5928808383516393 , z=3.548152475202319
x=-0.21786901529510838 , y=2.639567011212078 , z=2.773640123016414
x=-0.049080383999262484 , y=2.664705719675391 , z=2.1571427481576904
x=0.19392737328625823 , y=2.711391892535829 , z=2.2241793040598585
x=0.43932927465640437 , y=2.6503407434106405 , z=2.2660771514987137
x=0.5147454596500755 , y=2.588092512930056 , z=2.185872700687191
x=0.43693511194561263 , y=2.516267393191376 , z=2.172704805777837
x=0.2789202240240292 , y=2.4432454305122286 , z=2.0182810725168427
