x=-0.6775591 , y=2.6839 , z=9.677363
x=-0.5554548 , y=2.7605145 , z=10.579977
x=-0.5602432 , y=2.7365725 , z=11.482592
x=-0.7685388 , y=2.5091233 , z=11.812991
x=-1.0055647 , y=2.2697031 , z=11.585542
x=-0.9959879 , y=2.2385786 , z=10.998962
x=-0.78290397 , y=2.408567 , z=10.431537
x=-0.5267244 , y=2.6527755 , z=9.275137
x=-0.2705448 , y=2.7509377 , z=8.401254
x=-0.079008654 , y=2.8443117 , z=7.714118
x=0.031124622 , y=2.992752 , z=7.2568254
x=0.090979666 , y=3.0885203 , z=7.015011
x=0.16998832 , y=3.0095115 , z=6.6774287
x=0.25617957 , y=2.9017725 , z=6.7803793
x=0.24181437 , y=2.825158 , z=7.3525934
x=0.29448682 , y=2.7988217 , z=8.128315
x=0.24181437 , y=2.791639 , z=8.516175
x=-0.11971009 , y=2.6839 , z=9.358934
x=-0.28491 , y=2.5115175 , z=9.902418
x=-0.49081135 , y=2.3295584 , z=10.280702
x=-0.92176765 , y=2.15957 , z=10.812215
x=-1.2593501 , y=2.1164744 , z=11.032481
x=-1.733402 , y=2.0925324 , z=11.219229
x=-1.8291701 , y=2.1380222 , z=11.271901
x=-1.769315 , y=2.2098482 , z=11.089942
x=-1.5514427 , y=2.3056161 , z=10.366894
x=-1.292869 , y=2.4301147 , z=9.44752
x=-0.8738836 , y=2.6982653 , z=8.312668
x=-0.45729253 , y=2.9281087 , z=7.465121
x=-0.019153614 , y=3.0502129 , z=6.5984197
x=0.45729253 , y=3.2249897 , z=6.0716953
x=0.7086837 , y=3.3494883 , z=6.1866174
x=0.6584055 , y=3.4165258 , z=6.7205243
x=0.50996494 , y=3.4213142 , z=7.386112
x=0.37110126 , y=3.311181 , z=8.303091
x=-0.02873042 , y=3.0669725 , z=9.124303
x=-0.33039984 , y=2.8778305 , z=9.624691
x=-0.62488663 , y=2.6910827 , z=9.92636
x=-0.89064306 , y=2.4396915 , z=9.919178
x=-1.1827357 , y=2.2002714 , z=10.0508585
x=-1.5634137 , y=1.9728222 , z=10.259154
x=-1.8171991 , y=1.8555063 , z=10.0269165
x=-1.9871874 , y=1.7932571 , z=9.634268
x=-1.9033904 , y=1.7381904 , z=9.220071
x=-1.7286136 , y=1.8004397 , z=9.078813
x=-1.3814543 , y=2.0015526 , z=9.009381
x=-1.163582 , y=2.1499932 , z=8.815451
x=-0.9600749 , y=2.3247697 , z=8.439561
x=-0.7469909 , y=2.5091233 , z=7.9990277
x=-0.4237737 , y=2.6192567 , z=7.417237
x=0.035913024 , y=2.6551697 , z=6.8210807
x=0.19153613 , y=2.657564 , z=6.55293
x=0.25378537 , y=2.5474305 , z=6.3925185
x=0.25139117 , y=2.4061728 , z=6.6774287
x=-0.019153614 , y=2.1883004 , z=7.338228
x=-0.25617957 , y=1.9871874 , z=8.465898
x=-0.61052144 , y=1.8794483 , z=9.107543
x=-1.1228806 , y=1.7429788 , z=10.172963
x=-1.5155296 , y=1.5658079 , z=10.91756
