x=-0.09816076799852497 , y=0.7840890626328039 , z=4.736855453185047
x=-0.08618993954363337 , y=0.7793007372112204 , z=4.68059286789637
x=-0.08738702089902922 , y=0.7613444572765504 , z=4.642285787693846
x=-0.09696368664312911 , y=0.7505707250779877 , z=4.611161672453553
x=-0.09935784935392082 , y=0.7445853183010085 , z=4.615949997875137
x=-0.10893450764755419 , y=0.7541619691441753 , z=4.627920811429096
x=-0.12569366152402922 , y=0.7553590504995712 , z=4.675804542474787
x=-0.14604407436762484 , y=0.7541619691441753 , z=4.72129363397983
x=-0.1675915536656833 , y=0.7278261793254664 , z=4.761994400063289
x=-0.17477404179805844 , y=0.7182495284822996 , z=4.776359376328039
x=-0.16519739095489158 , y=0.7002932485476296 , z=4.799103683665631
x=-0.1532265625 , y=0.706278714928341 , z=4.830227798905924
x=-0.13407324591273326 , y=0.7194466098376955 , z=4.857760908494957
x=-0.12210241745784164 , y=0.7266290979700706 , z=4.873322727700175
x=-0.10893450764755419 , y=0.7385999115240292 , z=4.852972583073374
x=-0.1268907428794251 , y=0.7290232606808623 , z=4.820651148062757
x=-0.14843823707841655 , y=0.7242349352592788 , z=4.815862822641174
x=-0.15681780656618757 , y=0.7158553657715079 , z=4.763191243003756
x=-0.1735769604426626 , y=0.7350086674578417 , z=4.71291382607713
x=-0.19871569870784164 , y=0.7469794810118002 , z=4.702140332293496
x=-0.21068652716273323 , y=0.7613444572765504 , z=4.699746169582704
x=-0.2238544369730207 , y=0.7637386199873422 , z=4.71291382607713
x=-0.21547485258431667 , y=0.7601473759211547 , z=4.747629423798538
x=-0.19153319567453347 , y=0.7374028301686333 , z=4.765585405714548
x=-0.1795623821205749 , y=0.739796992879425 , z=4.797906840725164
x=-0.1759711231534543 , y=0.7266290979700706 , z=4.842198612459883
x=-0.161606146888704 , y=0.7338115861024458 , z=4.876914210181291
x=-0.14963531843381242 , y=0.7517678064333836 , z=4.8948701920973
x=-0.1376644899789208 , y=0.7960598761867624 , z=4.852972583073374
x=-0.12808782423482093 , y=0.7816948999220121 , z=4.846986937881466
x=-0.06943078566715834 , y=0.7637386199873422 , z=4.835016124327508
x=-0.008379577869545829 , y=0.7469794810118002 , z=4.812271816989915
x=0.06943078566715834 , y=0.7553590504995712 , z=4.788330189881997
x=0.10534326358136661 , y=0.7984540388975542 , z=4.783541864460414
x=0.09696368664312911 , y=0.8104248524515127 , z=4.790724352592789
x=0.08259869547744579 , y=0.8140160965177002 , z=4.814665979700706
x=0.08379577683284165 , y=0.7900744694097831 , z=4.843395932230207
x=0.07302203718381242 , y=0.7505707250779877 , z=4.862549233916541
x=0.09696368664312911 , y=0.6978990858368379 , z=4.899658517518883
x=0.07062786702255419 , y=0.6763516214397125 , z=4.97268071861296
x=0.013167907947670827 , y=0.6260741449093544 , z=4.991834020299293
x=-0.02872998046875 , y=0.587767541536687 , z=5.033732106153076
x=-0.05506579450147502 , y=0.5638258548250377 , z=5.057673733260994
x=-0.06344537143971254 , y=0.5518550412710791 , z=5.087600528730961
x=-0.08259869547744579 , y=0.5374900650063289 , z=5.118724643971254
x=-0.12569366152402922 , y=0.5303075768739537 , z=5.134286940006328
x=-0.13886157133431667 , y=0.5243221700969745 , z=5.153440241692662
x=-0.1328761645573374 , y=0.5183367037162631 , z=5.164214212306153
x=-0.14604407436762484 , y=0.5350959022955372 , z=5.158228567114246
x=-0.14484697811129596 , y=0.5494608785602875 , z=5.110345312898412
x=-0.12210241745784164 , y=0.587767541536687 , z=5.030140623671961
x=-0.09816076799852497 , y=0.6164974940661875 , z=4.976272201094075
x=-0.05985412737352497 , y=0.646424587554816 , z=4.911629807902699
x=-0.004788330078125 , y=0.671563296018129 , z=4.800301003435956
x=0.06224829008431668 , y=0.6990961671922338 , z=4.720096314209505
x=0.1376644899789208 , y=0.7278261793254664 , z=4.617147317645461
x=0.19512445464165407 , y=0.7374028301686333 , z=4.552504924454085
x=0.2585698111804336 , y=0.774512411789637 , z=4.487862531262709
x=0.323212293777408 , y=0.8032423643191375 , z=4.467511909806051
x=0.3854605838617247 , y=0.8379577832293496 , z=4.479482723360009
x=0.39862847877107915 , y=0.8774614679574129 , z=4.495045019395084
x=0.3746868218612959 , y=0.8870381188005797 , z=4.5130010013110935
x=0.36271600830733736 , y=0.8954177478920828 , z=4.534548465708219
x=0.31483269448777096 , y=0.9337243512647502 , z=4.557293249875668
x=0.28610271215640437 , y=0.9612572820425871 , z=4.5632784182377195
x=0.2849056308010085 , y=0.9552718752656078 , z=4.504621670238251
x=0.2944823114460414 , y=0.9361185139755419 , z=4.447161765179249
x=0.11611700323039585 , y=0.927738944487771 , z=4.511804158370626
x=-0.014364990234375 , y=0.9205564563553958 , z=4.575249231791678
x=-0.022744568103920827 , y=0.9373155953309378 , z=4.535745785478543
x=0.00119708251953125 , y=0.9480893275295005 , z=4.486665211492385
x=-0.00119708251953125 , y=0.9492864088848963 , z=4.489059374203176
x=0.07421911853920828 , y=0.9361185139755419 , z=4.492650856684292
x=0.1268907428794251 , y=0.9361185139755419 , z=4.49384769962476
x=0.10773742629215834 , y=0.9325272699093544 , z=4.539336791129802
x=0.05626287958210414 , y=0.9241477004215833 , z=4.586023202405169
x=0.01556207252107917 , y=0.9241477004215833 , z=4.631512293910212
x=0.00119708251953125 , y=0.9301331071985627 , z=4.655453921018129
