x=-1.091756 , y=2.3558946 , z=8.959103
x=-1.115698 , y=2.327164 , z=8.949526
x=-1.127669 , y=2.3008277 , z=8.937555
x=-1.1228806 , y=2.2529438 , z=8.971074
x=-1.1133038 , y=2.219425 , z=9.01417
x=-1.1013328 , y=2.2002714 , z=9.083601
x=-1.1085154 , y=2.183512 , z=9.112331
x=-1.103727 , y=2.2218192 , z=9.208099
x=-1.0869676 , y=2.2146366 , z=9.255983
x=-1.1109096 , y=2.2002714 , z=9.378088
x=-1.1133038 , y=2.2026656 , z=9.449914
x=-1.1133038 , y=2.1859062 , z=9.526528
x=-1.0630256 , y=2.219425 , z=9.648633
x=-1.0319009 , y=2.2697031 , z=9.77792
x=-1.0127473 , y=2.360683 , z=9.861717
x=-0.9600749 , y=2.4516625 , z=9.844957
x=-0.91458505 , y=2.5594015 , z=9.825804
x=-0.8834604 , y=2.6360161 , z=9.782708
x=-0.878672 , y=2.7030537 , z=9.775525
x=-0.89303726 , y=2.741361 , z=9.775525
x=-0.92416185 , y=2.765303 , z=9.792285
x=-0.9864111 , y=2.7581203 , z=9.878476
x=-1.055843 , y=2.801216 , z=10.005369
x=-1.0989386 , y=2.885013 , z=10.125079
x=-1.1300632 , y=3.004723 , z=10.230424
x=-1.1204864 , y=3.1028855 , z=10.28549
x=-1.1085154 , y=3.1866825 , z=10.28549
x=-1.0606314 , y=3.289633 , z=10.225636
x=-1.0223241 , y=3.3279405 , z=10.103531
x=-0.92895025 , y=3.383007 , z=9.919178
x=-0.82360536 , y=3.4452562 , z=9.722853
x=-0.6991069 , y=3.5122938 , z=9.557653
x=-0.5434838 , y=3.6176388 , z=9.3733
x=-0.45250413 , y=3.7062242 , z=9.263166
x=-0.34715924 , y=3.8426938 , z=9.088389
x=-0.2896984 , y=3.9025488 , z=8.913613
x=-0.24899697 , y=3.9384618 , z=8.724471
x=-0.22744916 , y=3.9695864 , z=8.497022
x=-0.23942018 , y=3.976769 , z=8.3150625
x=-0.30166942 , y=3.9839516 , z=8.154651
x=-0.40940848 , y=3.9600096 , z=8.063671
x=-0.58418524 , y=3.9480386 , z=8.025364
x=-0.8858546 , y=3.9217024 , z=8.010999
x=-1.127669 , y=3.9001546 , z=8.001422
x=-1.400608 , y=3.9025488 , z=7.9726915
x=-1.5610195 , y=3.892972 , z=7.8984714
x=-1.7525556 , y=3.86903 , z=7.8266454
x=-1.9201498 , y=3.8762126 , z=7.800309
x=-2.0709844 , y=3.8474822 , z=7.824251
x=-2.3391352 , y=3.8379054 , z=7.908048
x=-2.5354595 , y=3.8235402 , z=8.087613
x=-2.6264393 , y=3.799598 , z=8.408437
x=-2.5881321 , y=3.7780502 , z=8.664616
x=-2.516306 , y=3.7469256 , z=8.973468
x=-2.3654714 , y=3.7684734 , z=9.325416
x=-2.2888567 , y=3.7780502 , z=9.636662
x=-2.2050598 , y=3.8522706 , z=9.988609
x=-2.15957 , y=3.8714242 , z=10.25676
x=-2.1380222 , y=3.892972 , z=10.474632
x=-2.1260512 , y=3.857059 , z=10.747571
x=-2.1380222 , y=3.7828386 , z=10.97502
x=-2.1763294 , y=3.6583402 , z=11.348516
x=-2.1859062 , y=3.5697548 , z=11.640609
x=-2.1739352 , y=3.4404678 , z=11.927913
x=-2.1619642 , y=3.311181 , z=12.291832
x=-2.147599 , y=3.2225955 , z=12.557588
x=-2.147599 , y=3.0765493 , z=12.806585
x=-2.1499932 , y=2.9640217 , z=12.935872
x=-2.1212628 , y=2.861071 , z=12.950237
x=-2.0566192 , y=2.7700913 , z=12.86644
x=-2.0231004 , y=2.7581203 , z=12.706028
x=-1.9800048 , y=2.8179753 , z=12.375628
x=-1.9321208 , y=2.932897 , z=11.9853735
x=-1.9009962 , y=3.0502129 , z=11.372458
x=-1.8770541 , y=3.2034419 , z=10.773908
x=-1.8387469 , y=3.3039982 , z=10.208876
x=-1.8219875 , y=3.4045548 , z=9.497798
x=-1.8148049 , y=3.4500446 , z=9.011775
x=-1.8219875 , y=3.5003228 , z=8.513782
x=-1.8602947 , y=3.4979286 , z=8.228871
x=-1.946486 , y=3.4691982 , z=8.046912
x=-2.0757728 , y=3.4500446 , z=7.881712
x=-2.207454 , y=3.4356794 , z=7.843405
x=-2.3582888 , y=3.4404678 , z=7.819463
x=-2.5115175 , y=3.4093432 , z=7.795521
x=-2.6024973 , y=3.3782187 , z=7.836222
x=-2.669535 , y=3.3494883 , z=7.9152308
x=-2.6982653 , y=3.335123 , z=8.034941
x=-2.6599581 , y=3.3039982 , z=8.195353
x=-2.5881321 , y=3.3135753 , z=8.307879
x=-2.4612393 , y=3.3375173 , z=8.47308
x=-2.2601264 , y=3.3854012 , z=8.674192
x=-2.0614076 , y=3.454833 , z=8.760384
x=-1.8171991 , y=3.5098996 , z=8.796297
x=-1.6927006 , y=3.5458126 , z=8.805874
x=-1.6567876 , y=3.5673606 , z=8.781932
x=-1.6208745 , y=3.5410242 , z=8.796297
x=-1.6208745 , y=3.5075054 , z=8.793902
x=-1.6352397 , y=3.430891 , z=8.772355
x=-1.6328455 , y=3.4356794 , z=8.7053175
x=-1.5801731 , y=3.4572272 , z=8.556877
x=-1.4532804 , y=3.4691982 , z=8.228871
x=-1.2617443 , y=3.4404678 , z=7.7907324
x=-1.0462662 , y=3.3758245 , z=7.297527
x=-1.3982137 , y=3.359065 , z=7.2233067
x=-1.7142484 , y=3.3758245 , z=7.1730285
x=-1.8986019 , y=3.4356794 , z=6.979098
x=-2.018312 , y=3.4261026 , z=6.8809357
x=-2.0829554 , y=3.383007 , z=6.8689647
x=-2.0973208 , y=3.3159695 , z=7.0245876
x=-2.0829554 , y=3.2561142 , z=7.357382
x=-2.0901382 , y=3.169923 , z=7.690176
x=-2.1811178 , y=3.1124623 , z=8.0684595
x=-2.1499932 , y=3.016694 , z=8.394072
x=-2.231396 , y=2.815581 , z=8.662222
x=-2.3894134 , y=2.5115175 , z=9.093178
x=-2.2840683 , y=2.4660277 , z=9.514558
x=-2.1068976 , y=2.56419 , z=9.909601
x=-1.9081788 , y=2.7222073 , z=10.455479
x=-1.7788919 , y=2.7844565 , z=10.989386
x=-1.6472107 , y=2.8179753 , z=11.568783
x=-1.6567876 , y=2.7150247 , z=11.848905
x=-1.70946 , y=2.5378537 , z=11.947066
x=-1.6567876 , y=2.384625 , z=11.980585
x=-1.5370775 , y=2.3415294 , z=12.006922
x=-1.4556746 , y=2.3391352 , z=11.930307
x=-1.4628572 , y=2.3439236 , z=11.748347
x=-1.5275006 , y=2.2888567 , z=11.523293
x=-1.7908629 , y=2.2122424 , z=11.135432
x=-1.9752164 , y=2.2098482 , z=10.97502
x=-2.0805612 , y=2.2744915 , z=10.69011
x=-2.135628 , y=2.3463178 , z=10.577583
x=-2.2050598 , y=2.4181437 , z=10.577583
x=-2.2697031 , y=2.5139117 , z=10.618284
x=-2.3798366 , y=2.5234885 , z=10.7356
x=-2.5139117 , y=2.5187001 , z=10.953473
x=-2.492364 , y=2.5019407 , z=11.106702
x=-2.4971523 , y=2.504335 , z=11.204864
x=-2.4037786 , y=2.6288335 , z=11.461043
x=-2.1667526 , y=2.717419 , z=11.599907
x=-1.8315643 , y=2.813187 , z=11.5616
x=-1.5849615 , y=2.801216 , z=11.341333
x=-1.4748282 , y=2.8419175 , z=11.190498
x=-1.3838485 , y=2.9376855 , z=10.893618
x=-1.472434 , y=3.0334535 , z=10.6158905
x=-1.4915876 , y=3.2369606 , z=10.067618
x=-1.5801731 , y=3.3901896 , z=9.516952
x=-1.5945383 , y=3.5314474 , z=8.815451
x=-1.5682021 , y=3.691859 , z=8.271967
x=-1.5825673 , y=3.8259344 , z=7.8386164
x=-1.6328455 , y=3.9791632 , z=7.36217
x=-1.7046716 , y=4.0462008 , z=7.1155677
x=-1.7429788 , y=4.1299977 , z=7.005434
x=-1.8195933 , y=4.1706996 , z=6.933608
x=-1.8483237 , y=4.247314 , z=6.9383965
x=-1.8818425 , y=4.343082 , z=6.897695
x=-1.99437 , y=4.4125137 , z=6.811504
x=-1.3742718 , y=4.912902 , z=7.0461354
x=-0.45010993 , y=4.7644615 , z=7.091625
x=-1.2449849 , y=4.441244 , z=7.2424603
x=-2.1164744 , y=4.297592 , z=7.735666
x=-2.3822308 , y=4.31914 , z=7.620744
x=-2.8107927 , y=4.4843397 , z=7.8027034
x=-3.095703 , y=4.5872903 , z=7.771579
x=-3.5003228 , y=4.6016555 , z=7.848193
x=-3.6487634 , y=4.525041 , z=7.884106
x=-3.6343982 , y=4.390966 , z=7.8505874
x=-3.478775 , y=4.2185836 , z=7.8290396
x=-3.2872388 , y=4.1419687 , z=7.747637
x=-3.0933087 , y=4.1491513 , z=7.577648
x=-2.9903579 , y=4.2521024 , z=7.5704656
x=-2.918532 , y=4.3766007 , z=7.656657
x=-2.8179753 , y=4.5441947 , z=7.711724
x=-2.7820623 , y=4.7070007 , z=7.7931266
x=-2.719813 , y=4.8338933 , z=7.6973586
x=-2.5809495 , y=5.00867 , z=7.6734166
x=-2.4995465 , y=5.12838 , z=7.5968018
x=-2.3295584 , y=5.2840033 , z=7.431602
x=-2.219425 , y=5.3965306 , z=7.3669586
x=-2.147599 , y=5.509058 , z=7.3047094
x=-2.0638018 , y=5.604826 , z=7.4363904
x=-2.042254 , y=5.631162 , z=7.455544
x=-2.0566192 , y=5.645528 , z=7.5441294
x=-2.1739352 , y=5.626374 , z=7.603985
x=-2.2864625 , y=5.5617304 , z=7.699753
x=-2.5210943 , y=5.48751 , z=7.728483
x=-2.7222073 , y=5.4180784 , z=7.8290396
x=-2.9999347 , y=5.291186 , z=8.001422
x=-3.2249897 , y=5.1571107 , z=8.221688
x=-3.490746 , y=5.0397944 , z=8.520964
x=-3.727772 , y=4.88896 , z=8.772355
x=-3.8905778 , y=4.793192 , z=8.992621
x=-3.9839516 , y=4.7429137 , z=9.303867
x=-4.015076 , y=4.7189717 , z=9.387665
x=-4.0318356 , y=4.7046065 , z=9.404425
x=-3.9336734 , y=4.745308 , z=9.378088
x=-3.821146 , y=4.783615 , z=9.313444
x=-3.632004 , y=4.8338933 , z=9.176975
x=-3.4380736 , y=4.891354 , z=9.033323
x=-3.205836 , y=4.984728 , z=8.781932
x=-3.0430303 , y=5.046977 , z=8.585608
x=-2.9281087 , y=5.1020436 , z=8.360553
x=-2.8682537 , y=5.1116204 , z=8.121132
x=-2.8802247 , y=5.0757074 , z=8.001422
x=-2.9472623 , y=4.948815 , z=8.001422
x=-2.9783869 , y=4.8338933 , z=8.094796
x=-3.0071173 , y=4.675876 , z=8.259995
x=-3.0502129 , y=4.501099 , z=8.513782
x=-3.086126 , y=4.381389 , z=8.755595
x=-3.0789435 , y=4.256891 , z=9.064447
x=-3.0262709 , y=4.201824 , z=9.208099
x=-2.930503 , y=4.1276035 , z=9.315839
x=-2.815581 , y=4.024653 , z=9.469068
x=-2.717419 , y=3.940856 , z=9.61272
x=-2.6623523 , y=3.8426938 , z=9.821015
x=-2.6048915 , y=3.7924154 , z=9.902418
x=-2.5713725 , y=3.7900212 , z=9.816227
x=-2.5498247 , y=3.7972038 , z=9.500193
x=-2.5378537 , y=3.8043866 , z=9.167398
x=-2.528277 , y=3.8379054 , z=8.738836
x=-2.4492683 , y=3.86903 , z=8.372523
x=-2.2984335 , y=3.9145198 , z=8.085219
x=-2.1212628 , y=3.9217024 , z=7.762002
x=-2.0638018 , y=3.8857894 , z=7.6135616
x=-2.0518308 , y=3.8283286 , z=7.539341
x=-2.1045034 , y=3.7086184 , z=7.654263
x=-2.2505496 , y=3.58412 , z=7.9343843
x=-2.5474305 , y=3.3614593 , z=8.264784
x=-2.7820623 , y=3.1914709 , z=8.6334915
x=-3.0262709 , y=3.0334535 , z=8.973468
x=-3.2441432 , y=2.9496565 , z=9.165004
x=-3.3183637 , y=2.8634653 , z=9.308656
x=-3.3399115 , y=2.7461493 , z=9.387665
x=-3.2752678 , y=2.6839 , z=9.354146
x=-3.0909145 , y=2.6647465 , z=9.205706
x=-2.8634653 , y=2.7341783 , z=9.050082
x=-2.633622 , y=2.837129 , z=8.798691
x=-2.3247697 , y=3.0430303 , z=8.66701
x=-2.1045034 , y=3.2369606 , z=8.535329
x=-1.8243817 , y=3.4380736 , z=8.358158
x=-1.5969325 , y=3.5362358 , z=8.161834
x=-1.352724 , y=3.6176388 , z=8.128315
x=-1.2378023 , y=3.6511576 , z=8.240842
x=-1.2090719 , y=3.655946 , z=8.374918
x=-1.2856863 , y=3.6272156 , z=8.544906
x=-1.4891934 , y=3.560178 , z=8.714894
x=-1.6687586 , y=3.466804 , z=8.90643
x=-1.8722657 , y=3.3758245 , z=9.0237465
x=-2.1212628 , y=3.2369606 , z=9.193734
x=-2.4708161 , y=3.098097 , z=9.41879
x=-2.693477 , y=3.0262709 , z=9.61272
x=-2.858677 , y=2.9520507 , z=9.636662
x=-3.0597897 , y=2.9472623 , z=9.610326
x=-3.145981 , y=2.992752 , z=9.481039
x=-3.1244333 , y=3.122039 , z=9.119514
x=-3.0909145 , y=3.2513258 , z=8.815451
x=-3.107674 , y=3.4524388 , z=8.37013
x=-3.0023289 , y=3.6008794 , z=7.9870567
x=-2.8993783 , y=3.7588966 , z=7.711724
x=-2.6623523 , y=3.9336734 , z=7.3525934
x=-2.4636335 , y=4.1012673 , z=7.1514807
x=-2.2720973 , y=4.3119574 , z=7.007828
x=-2.0566192 , y=4.4819455 , z=6.9000893
x=-1.8483237 , y=4.6375685 , z=6.921637
x=-1.6998832 , y=4.759673 , z=6.979098
x=-1.7980455 , y=4.817134 , z=7.153875
x=-1.9536686 , y=4.7907977 , z=7.3525934
x=-1.9608512 , y=4.7309427 , z=7.548918
x=-1.9201498 , y=4.6519337 , z=7.797915
x=-1.9608512 , y=4.5537715 , z=8.118738
x=-2.0087352 , y=4.498705 , z=8.408437
x=-2.1092918 , y=4.4125137 , z=8.702923
x=-2.123657 , y=4.367024 , z=8.863335
x=-2.135628 , y=4.343082 , z=8.985439
x=-2.171541 , y=4.3382936 , z=9.090784
x=-2.1021092 , y=4.31914 , z=9.045294
x=-2.078167 , y=4.3119574 , z=9.121908
x=-2.15957 , y=4.3047748 , z=9.260772
x=-2.1619642 , y=4.3239284 , z=9.349358
x=-1.9752164 , y=4.3861775 , z=9.351752
x=-1.7980455 , y=4.4556093 , z=9.251195
x=-1.5729905 , y=4.5274353 , z=9.038112
x=-1.42455 , y=4.584896 , z=8.925584
x=-1.3120226 , y=4.6375685 , z=8.860941
x=-1.2473791 , y=4.6279917 , z=8.908825
x=-1.2354081 , y=4.594473 , z=9.052477
x=-1.2976574 , y=4.4843397 , z=9.337387
x=-1.340753 , y=4.3957543 , z=9.583989
x=-1.4341269 , y=4.271256 , z=9.91439
x=-1.5155296 , y=4.177882 , z=10.189722
x=-1.5729905 , y=4.0677485 , z=10.362105
x=-1.6232687 , y=3.9624038 , z=10.43872
x=-1.6519991 , y=3.8618474 , z=10.364499
x=-1.6927006 , y=3.7493198 , z=10.199299
x=-1.6663644 , y=3.7110126 , z=9.9790325
x=-1.5969325 , y=3.7110126 , z=9.672575
x=-1.508347 , y=3.7852328 , z=9.306262
x=-1.4317327 , y=3.881001 , z=8.939949
x=-1.3599066 , y=4.0222588 , z=8.516175
x=-1.283292 , y=4.132392 , z=8.259995
x=-1.2186487 , y=4.223372 , z=8.09719
x=-1.1324574 , y=4.2760444 , z=8.082825
x=-1.0845734 , y=4.307169 , z=8.259995
x=-0.9888053 , y=4.2999864 , z=8.597578
x=-0.92416185 , y=4.283227 , z=8.834604
x=-0.89543146 , y=4.259285 , z=9.038112
x=-1.0247183 , y=4.1539397 , z=9.220071
x=-1.13964 , y=4.0198646 , z=9.454702
x=-1.3383588 , y=3.8139634 , z=9.866506
x=-1.4652514 , y=3.6463692 , z=10.244789
x=-1.5514427 , y=3.4691982 , z=10.620679
x=-1.5873557 , y=3.3446999 , z=10.960655
x=-1.6208745 , y=3.2489316 , z=11.058818
x=-1.6424223 , y=3.181894 , z=11.032481
x=-1.6687586 , y=3.169923 , z=10.905589
x=-1.6903064 , y=3.181894 , z=10.651803
x=-1.673547 , y=3.2130187 , z=10.3932295
x=-1.6065093 , y=3.2561142 , z=10.156203
x=-1.5442601 , y=3.3303347 , z=9.720459
x=-1.4820108 , y=3.4237084 , z=9.380483
x=-1.4580688 , y=3.4763808 , z=8.932767
x=-1.4820108 , y=3.5362358 , z=8.774749
x=-1.460463 , y=3.5410242 , z=8.683769
x=-1.4077905 , y=3.5673606 , z=8.655039
x=-1.436521 , y=3.5913026 , z=8.65025
