x=0.61052144 , y=3.739743 , z=8.815451
x=0.7278373 , y=3.6774938 , z=8.856153
x=0.8762778 , y=3.6367924 , z=8.901642
x=1.0821792 , y=3.6367924 , z=8.987833
x=1.2162545 , y=3.6583402 , z=9.100361
x=1.2545617 , y=3.6535518 , z=9.224859
x=1.1947067 , y=3.6487634 , z=9.332599
x=1.13964 , y=3.643975 , z=9.399636
x=1.0342951 , y=3.6272156 , z=9.433155
x=0.9744401 , y=3.596091 , z=9.394848
x=0.92416185 , y=3.5745432 , z=9.294291
x=0.8379706 , y=3.5122938 , z=9.141062
x=0.78050977 , y=3.4596214 , z=8.99741
x=0.6799533 , y=3.4093432 , z=8.7771435
x=0.62728083 , y=3.3734303 , z=8.578424
x=0.5770026 , y=3.3614593 , z=8.3868885
x=0.5650316 , y=3.3399115 , z=8.209718
x=0.56982 , y=3.3303347 , z=8.070854
x=0.62009823 , y=3.3399115 , z=7.9750857
x=0.6512229 , y=3.335123 , z=8.001422
x=0.6727707 , y=3.3446999 , z=8.073248
x=0.6871359 , y=3.3375173 , z=8.2169
x=0.7422025 , y=3.3207579 , z=8.360553
x=0.830788 , y=3.265691 , z=8.540117
x=0.91219085 , y=3.2034419 , z=8.7053175
x=0.93852705 , y=3.1196449 , z=8.959103
x=0.9816227 , y=3.0358477 , z=9.176975
x=0.9696517 , y=2.992752 , z=9.390059
x=0.9600749 , y=2.942474 , z=9.598354
x=0.9504981 , y=2.8682537 , z=9.739613
x=0.9816227 , y=2.8562827 , z=10.036493
x=1.0462662 , y=2.8754363 , z=10.366894
x=1.0773908 , y=2.8419175 , z=10.462662
x=1.0271125 , y=2.7964275 , z=10.431537
x=0.91937345 , y=2.7485435 , z=10.333375
x=0.78290397 , y=2.72939 , z=10.156203
x=0.581791 , y=2.60968 , z=9.907207
x=0.60333884 , y=2.6886885 , z=9.859323
x=0.80445176 , y=2.8538885 , z=9.725247
x=1.0606314 , y=3.016694 , z=9.624691
x=1.3982137 , y=3.064578 , z=9.241618
x=1.6519991 , y=3.1316159 , z=9.038112
x=1.685518 , y=3.1747115 , z=8.7532015
x=1.5035586 , y=3.1124623 , z=8.595184
x=1.3479356 , y=3.0693667 , z=8.6095495
x=1.3120226 , y=3.0885203 , z=8.66701
x=1.4413095 , y=3.1483753 , z=8.722076
x=1.5705963 , y=3.1986535 , z=8.767567
x=1.7788919 , y=3.2249897 , z=8.839393
x=1.8626889 , y=3.2034419 , z=8.825027
x=1.8243817 , y=3.181894 , z=8.851364
x=1.685518 , y=3.110068 , z=8.810662
x=1.5466543 , y=3.0502129 , z=8.710106
x=1.4437037 , y=2.980781 , z=8.532935
x=1.3958195 , y=2.9352913 , z=8.468291
x=1.3958195 , y=2.9400797 , z=8.635885
x=1.3838485 , y=2.908955 , z=8.836999
x=1.30484 , y=2.8658595 , z=9.033323
x=1.2066777 , y=2.779668 , z=9.16261
x=1.2210429 , y=2.717419 , z=9.248801
x=1.328782 , y=2.7389667 , z=9.358934
x=1.3790601 , y=2.779668 , z=9.337387
x=1.4389153 , y=2.813187 , z=9.390059
x=1.5969325 , y=2.9113493 , z=9.478644
x=1.6352397 , y=2.9592333 , z=9.502586
x=1.5873557 , y=2.9400797 , z=9.533711
x=1.4580688 , y=2.8514943 , z=9.591172
x=1.3718776 , y=2.753332 , z=9.643845
x=1.2976574 , y=2.705448 , z=9.799467
x=1.2330139 , y=2.6791117 , z=9.933543
x=1.1228806 , y=2.6719291 , z=10.13705
x=0.9935937 , y=2.6767175 , z=10.295067
x=0.92655605 , y=2.6767175 , z=10.338163
x=0.89064306 , y=2.6767175 , z=10.395624
x=0.90740246 , y=2.5809495 , z=10.390836
x=0.8690952 , y=2.4947581 , z=10.376471
x=0.7158663 , y=2.3798366 , z=10.323798
x=0.5410896 , y=2.360683 , z=10.213664
x=0.36391866 , y=2.4013844 , z=9.964667
x=0.320823 , y=2.4301147 , z=9.722853
x=0.30406362 , y=2.4636335 , z=9.3733
x=0.272939 , y=2.4660277 , z=9.174581
x=0.35194764 , y=2.4779987 , z=9.059659
x=0.4429273 , y=2.5139117 , z=9.13388
x=0.45729253 , y=2.5450363 , z=9.200917
x=0.46447513 , y=2.5929205 , z=9.334992
x=0.47165772 , y=2.6144683 , z=9.445126
x=0.46926352 , y=2.6647465 , z=9.581595
x=0.45968673 , y=2.72939 , z=9.758766
x=0.521936 , y=2.7605145 , z=9.902418
x=0.6775591 , y=2.7868507 , z=10.065224
x=0.8523358 , y=2.767697 , z=10.180145
x=0.9648633 , y=2.7485435 , z=10.2735195
x=1.0271125 , y=2.717419 , z=10.326192
x=1.0773908 , y=2.7222073 , z=10.34774
x=1.2114661 , y=2.755726 , z=10.251971
x=1.4676456 , y=2.837129 , z=10.01734
x=1.5394717 , y=2.7820623 , z=9.991004
x=1.3431472 , y=2.7389667 , z=10.196905
x=1.2497733 , y=2.6839 , z=10.163386
x=1.2665327 , y=2.6743233 , z=9.952697
x=1.3024458 , y=2.6719291 , z=9.864111
x=1.3000516 , y=2.6599581 , z=9.76116
x=1.2689269 , y=2.6719291 , z=9.677363
x=1.2785037 , y=2.7030537 , z=9.528923
x=1.2761095 , y=2.767697 , z=9.26556
x=1.2641385 , y=2.777274 , z=9.114726
x=1.2449849 , y=2.7940333 , z=8.966286
x=1.2545617 , y=2.7820623 , z=8.808268
x=1.2665327 , y=2.789245 , z=8.726865
x=1.2497733 , y=2.815581 , z=8.748413
x=1.2162545 , y=2.8275523 , z=8.774749
x=1.2162545 , y=2.8443117 , z=8.868123
x=1.2018893 , y=2.834735 , z=9.050082
x=1.2018893 , y=2.8491 , z=9.157822
x=1.1851299 , y=2.9041667 , z=9.220071
x=1.1851299 , y=2.896984 , z=9.198523
x=1.1923125 , y=2.918532 , z=9.119514
x=1.1803415 , y=2.9017725 , z=8.9519205
x=1.1899183 , y=2.8898015 , z=8.801085
x=1.2066777 , y=2.8874073 , z=8.578424
x=1.2138603 , y=2.882619 , z=8.4587145
x=1.2114661 , y=2.8323407 , z=8.429984
x=1.2210429 , y=2.7629087 , z=8.461109
x=1.2186487 , y=2.719813 , z=8.504205
x=1.2042835 , y=2.695871 , z=8.607155
x=1.1540052 , y=2.6982653 , z=8.724471
x=1.1061212 , y=2.705448 , z=8.870518
x=1.0079589 , y=2.7102363 , z=8.9758625
x=0.92655605 , y=2.719813 , z=8.9279785
x=0.82121116 , y=2.731784 , z=8.796297
x=0.8403648 , y=2.72939 , z=8.695741
x=0.8571242 , y=2.7509377 , z=8.540117
x=0.92176765 , y=2.7246015 , z=8.42759
x=0.9768343 , y=2.741361 , z=8.355764
x=1.0103531 , y=2.7389667 , z=8.310274
x=1.0175357 , y=2.707842 , z=8.35337
x=1.0462662 , y=2.6886885 , z=8.465898
x=1.1061212 , y=2.6982653 , z=8.662222
x=1.1228806 , y=2.657564 , z=8.880095
x=1.1228806 , y=2.60968 , z=9.234436
x=1.0726024 , y=2.597709 , z=9.52174
x=1.0726024 , y=2.56419 , z=9.718064
x=1.0055647 , y=2.5594015 , z=9.911995
x=0.9672575 , y=2.554613 , z=9.935937
x=0.92176765 , y=2.5474305 , z=9.842564
x=0.8858546 , y=2.5330653 , z=9.734824
x=0.93852705 , y=2.5067291 , z=9.64145
x=1.0462662 , y=2.4875755 , z=9.512163
x=1.1803415 , y=2.468422 , z=9.481039
x=1.3215994 , y=2.4875755 , z=9.428367
x=1.42455 , y=2.5210943 , z=9.425972
x=1.4772224 , y=2.5354595 , z=9.452309
x=1.4748282 , y=2.5234885 , z=9.500193
x=1.4628572 , y=2.5115175 , z=9.512163
x=1.4101849 , y=2.5258827 , z=9.569624
x=1.3144168 , y=2.5258827 , z=9.634268
x=1.271321 , y=2.5617957 , z=9.667787
x=1.2066777 , y=2.6024973 , z=9.648633
x=1.1300632 , y=2.5881321 , z=9.622296
x=1.067814 , y=2.542642 , z=9.5385
x=1.0079589 , y=2.4875755 , z=9.473856
x=0.9768343 , y=2.4253263 , z=9.411607
x=0.91697925 , y=2.3822308 , z=9.287108
x=0.8499416 , y=2.336741 , z=9.217676
x=0.7781156 , y=2.3008277 , z=9.100361
x=0.7589619 , y=2.3247697 , z=9.054871
x=0.7422025 , y=2.315193 , z=9.052477
x=0.641646 , y=2.3439236 , z=9.057265
x=0.581791 , y=2.3558946 , z=9.021352
x=0.49081135 , y=2.3774424 , z=8.918402
x=0.45250413 , y=2.396596 , z=8.801085
x=0.46686932 , y=2.3918076 , z=8.702923
x=0.49559975 , y=2.3918076 , z=8.566454
x=0.5746084 , y=2.3822308 , z=8.468291
x=0.6847417 , y=2.3942018 , z=8.406042
x=0.7589619 , y=2.3870192 , z=8.391677
x=0.8355764 , y=2.4109612 , z=8.468291
x=0.8714894 , y=2.408567 , z=8.588001
x=0.91697925 , y=2.432509 , z=8.659827
x=0.9792285 , y=2.4588451 , z=8.760384
x=0.9624691 , y=2.432509 , z=8.875306
x=0.8834604 , y=2.3654714 , z=9.064447
x=0.7661445 , y=2.3415294 , z=9.129091
x=0.7038953 , y=2.3056161 , z=9.232041
x=0.6847417 , y=2.3008277 , z=9.368511
x=0.770933 , y=2.348712 , z=9.435549
x=0.8451532 , y=2.384625 , z=9.512163
x=0.90261406 , y=2.4277205 , z=9.593566
x=0.9576807 , y=2.4516625 , z=9.677363
x=1.0534488 , y=2.492364 , z=9.725247
x=1.127669 , y=2.5354595 , z=9.751583
x=1.2042835 , y=2.5953147 , z=9.828198
x=1.3024458 , y=2.6168625 , z=9.938332
x=1.352724 , y=2.6479871 , z=10.022128
x=1.3742718 , y=2.7102363 , z=10.101137
x=1.3311762 , y=2.7030537 , z=10.13705
x=1.2808979 , y=2.6839 , z=10.019734
x=1.2090719 , y=2.695871 , z=9.904813
x=1.151611 , y=2.693477 , z=9.7324295
x=1.0869676 , y=2.7269957 , z=9.557653
x=1.0319009 , y=2.753332 , z=9.416395
x=0.9864111 , y=2.7509377 , z=9.334992
x=0.90740246 , y=2.777274 , z=9.315839
x=0.92895025 , y=2.80361 , z=9.325416
x=0.9528923 , y=2.8275523 , z=9.303867
x=0.9768343 , y=2.8562827 , z=9.212888
x=0.9864111 , y=2.861071 , z=9.138668
x=1.0127473 , y=2.8491 , z=9.105149
x=1.0079589 , y=2.858677 , z=9.059659
x=0.9504981 , y=2.885013 , z=9.085996
x=0.91458505 , y=2.8754363 , z=9.064447
x=0.878672 , y=2.882619 , z=9.018958
x=0.89303726 , y=2.8419175 , z=8.901642
x=0.92416185 , y=2.8275523 , z=8.839393
x=1.0079589 , y=2.789245 , z=8.76996
x=1.0366893 , y=2.767697 , z=8.772355
x=1.0199299 , y=2.7365725 , z=8.781932
x=0.9864111 , y=2.681506 , z=8.743625
x=0.9935937 , y=2.60968 , z=8.791509
x=1.0127473 , y=2.5306711 , z=8.829816
x=1.0654198 , y=2.4540567 , z=8.92319
x=1.0702082 , y=2.3678656 , z=9.030929
x=1.0175357 , y=2.2601264 , z=9.090784
x=0.94570965 , y=2.231396 , z=9.210494
x=0.8355764 , y=2.2026656 , z=9.354146
x=0.6703765 , y=2.1523874 , z=9.349358
x=0.60094464 , y=2.1188686 , z=9.277532
x=0.60333884 , y=2.1428106 , z=9.205706
x=0.6560113 , y=2.1547816 , z=9.203311
x=0.7278373 , y=2.1787236 , z=9.306262
x=0.78529817 , y=2.2098482 , z=9.411607
