x=-0.14005865268971254 , y=0.9792135023735249 , z=5.956682546408068
x=-0.08259869547744579 , y=1.0390675701433179 , z=5.905208286540974
x=-0.03471539283357917 , y=1.0857538622112204 , z=5.799864650436282
x=0.014364990234375 , y=1.1336371164270547 , z=5.674171346534646
x=0.06105120872892082 , y=1.1635641503119512 , z=5.505382637008901
x=0.08499285818823751 , y=1.19109714069352 , z=5.379688856277408
x=0.11252575916420827 , y=1.1946883847597076 , z=5.209703303811196
x=0.11132867780881242 , y=1.175535083073374 , z=5.07084138975542
x=0.08618993954363337 , y=1.1635641503119512 , z=4.984651532166918
x=0.02513873267732917 , y=1.124060465583888 , z=4.936768277951083
x=-0.0323212263975542 , y=1.097724675765179 , z=4.935571435010616
x=-0.10893450764755419 , y=1.0821626181450328 , z=4.9571188994077415
x=-0.1675915536656833 , y=1.0666005605248867 , z=4.981060526515659
x=-0.21906609665050425 , y=1.0498414215493448 , z=5.00141067114246
x=-0.2789202240240292 , y=1.0342792447217344 , z=5.021761292599118
x=-0.3160297758431668 , y=1.019914268456984 , z=5.025352298250377
x=-0.3603218455965457 , y=1.0079434549030255 , z=5.022958135539586
x=-0.3794751472828794 , y=1.0175201057461924 , z=5.00979047904516
x=-0.3866576652171206 , y=1.0247025938785674 , z=4.973878038383283
x=-0.39384015334949574 , y=1.0342792447217344 , z=4.896067511867624
x=-0.3794751472828794 , y=1.0354763260771302 , z=4.842198612459883
x=-0.35792768288575394 , y=1.037870488787922 , z=4.781147701749622
x=-0.35673060153035807 , y=1.0306880006555468 , z=4.744037941317422
x=-0.3794751472828794 , y=1.0438560147723654 , z=4.722490476920297
x=-0.3794751472828794 , y=1.047447258838553 , z=4.7009430125231715
x=-0.40461388554805844 , y=1.0534326656155322 , z=4.711716983136663
x=-0.4536942807230207 , y=1.0941334316989915 , z=4.753614592160589
x=-0.48960675118676245 , y=1.1348341977824505 , z=4.748826266739005
x=-0.5003804833853251 , y=1.1731409203625822 , z=4.674607222704463
x=-0.5243221700969745 , y=1.175535083073374 , z=4.491453536913968
x=-0.5398842277171205 , y=1.1731409203625822 , z=4.305905688412682
x=-0.5734025056682046 , y=1.1515933367579925 , z=4.122752002622187
x=-0.6236799821985627 , y=1.1503962554025966 , z=4.010226355214977
x=-0.696702004481442 , y=1.131242953716263 , z=3.9192481722048913
x=-0.7781036558558245 , y=1.10610424525295 , z=3.8701678366336614
x=-0.824789828716263 , y=1.0761772113680534 , z=3.8569999417243066
x=-0.9061914800906455 , y=1.0079434549030255 , z=3.914459846783308
x=-0.9456951648187087 , y=0.9564689566210036 , z=4.019803006058144
x=-0.9648485261087746 , y=0.9026002360244579 , z=4.17302989637867
x=-0.9851989091505042 , y=0.8415490272955372 , z=4.286752386726348
x=-0.9911843159274835 , y=0.7900744694097831 , z=4.422022818301008
x=-0.9816076650843166 , y=0.7278261793254664 , z=4.626723968488628
x=-0.952877712554816 , y=0.6823370282166917 , z=4.795512678014372
x=-0.9241477004215833 , y=0.6703662146627332 , z=5.010987321985627
x=-0.884643956089788 , y=0.6583954011087746 , z=5.147454596500754
x=-0.8415490272955372 , y=0.6536070756871912 , z=5.282725028075415
x=-0.7577532132103629 , y=0.6619866451749622 , z=5.438346081106733
x=-0.6883224349936711 , y=0.6775487027951084 , z=5.536506752249194
x=-0.6105120872892082 , y=0.6607895638195663 , z=5.573616035851536
x=-0.5434754717833081 , y=0.646424587554816 , z=5.580798523983912
x=-0.48960675118676245 , y=0.6356507957525213 , z=5.5664335477191615
x=-0.4560884434338124 , y=0.621285819487771 , z=5.526930101406027
x=-0.4297526238132375 , y=0.61290625 , z=5.481441009900984
x=-0.39862847877107915 , y=0.6057237618676248 , z=5.382083018988199
x=-0.39264307199409987 , y=0.5745995870236005 , z=5.299484167050957
x=-0.3974313974156833 , y=0.5482637972048916 , z=5.22885660549753
x=-0.38785474657251645 , y=0.49798632067453347 , z=5.152243398752195
x=-0.41658472890388304 , y=0.4644680129215834 , z=5.125907132103629
x=-0.45249719936762484 , y=0.42616137974704993 , z=5.101965504995712
x=-0.49439507660834586 , y=0.41299345503582946 , z=5.0768270349473275
x=-0.5267163328077661 , y=0.41299345503582946 , z=5.072038709525744
x=-0.561431692114246 , y=0.4058109669034543 , z=5.08520636602017
x=-0.569811261602017 , y=0.41538764754848717 , z=5.112739475609203
x=-0.5374900650063289 , y=0.4273584611024458 , z=5.142666271079171
x=-0.5243221700969745 , y=0.43932927465640437 , z=5.135483782946796
x=-0.5195337850716589 , y=0.4548913620784165 , z=5.110345312898412
x=-0.5111542155838878 , y=0.5003804833853251 , z=5.087600528730961
x=-0.4908038325421583 , y=0.5458696344940999 , z=5.064856221393369
x=-0.4237672170362582 , y=0.6105120872892082 , z=5.0169729671775345
x=-0.36271600830733736 , y=0.646424587554816 , z=4.943950766083459
x=-0.2896939562225919 , y=0.6787457841505042 , z=4.836213444097831
x=-0.2142777712289208 , y=0.7098699589945286 , z=4.65784808372892
x=-0.1855477888975542 , y=0.7565561318549671 , z=4.524971814865052
x=-0.15202948114460413 , y=0.816410259228492 , z=4.370548081604058
x=-0.13886157133431667 , y=0.859505247626475 , z=4.28914654943714
x=-0.10654034493676248 , y=0.8858410374451838 , z=4.228095638726879
x=-0.0885841097048916 , y=0.8870381188005797 , z=4.155073437632804
x=-0.08499285818823751 , y=0.8810527120236004 , z=4.121555159681719
